program_id,product_code,operation_number,operation_name,machine_type,tool_type,target_force_kn,force_tolerance_kn,minimum_force_kn,maximum_force_kn,target_displacement_mm,displacement_tolerance_mm,maximum_cycle_time_sec,active
PP-0001,GIS-072-2500,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,145.0,5.0,140.0,150.0,25.0,1.5,35,True
PP-0002,GIS-072-2500,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,145.0,5.0,140.0,150.0,25.0,1.5,35,True
PP-0003,GIS-072-2500,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,145.0,5.0,140.0,150.0,25.0,1.5,35,True
PP-0004,GIS-072-2500,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,145.0,5.0,140.0,150.0,25.0,1.5,35,True
PP-0005,GIS-072-3150,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,150.0,5.0,145.0,155.0,25.0,1.5,36,True
PP-0006,GIS-072-3150,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,150.0,5.0,145.0,155.0,25.0,1.5,36,True
PP-0007,GIS-072-3150,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,150.0,5.0,145.0,155.0,25.0,1.5,36,True
PP-0008,GIS-072-3150,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,150.0,5.0,145.0,155.0,25.0,1.5,36,True
PP-0009,GIS-145-3150,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,155.0,5.0,150.0,160.0,25.0,1.5,40,True
PP-0010,GIS-145-3150,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,155.0,5.0,150.0,160.0,25.0,1.5,40,True
PP-0011,GIS-145-3150,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,155.0,5.0,150.0,160.0,25.0,1.5,40,True
PP-0012,GIS-145-3150,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,155.0,5.0,150.0,160.0,25.0,1.5,40,True
PP-0013,GIS-145-4000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,160.0,5.0,155.0,165.0,25.0,1.5,42,True
PP-0014,GIS-145-4000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,160.0,5.0,155.0,165.0,25.0,1.5,42,True
PP-0015,GIS-145-4000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,160.0,5.0,155.0,165.0,25.0,1.5,42,True
PP-0016,GIS-145-4000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,160.0,5.0,155.0,165.0,25.0,1.5,42,True
PP-0017,GIS-170-4000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,162.0,5.0,157.0,167.0,25.0,1.5,43,True
PP-0018,GIS-170-4000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,162.0,5.0,157.0,167.0,25.0,1.5,43,True
PP-0019,GIS-170-4000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,162.0,5.0,157.0,167.0,25.0,1.5,43,True
PP-0020,GIS-170-4000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,162.0,5.0,157.0,167.0,25.0,1.5,43,True
PP-0021,GIS-245-3150,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,168.0,5.0,163.0,173.0,25.0,1.5,46,True
PP-0022,GIS-245-3150,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,168.0,5.0,163.0,173.0,25.0,1.5,46,True
PP-0023,GIS-245-3150,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,168.0,5.0,163.0,173.0,25.0,1.5,46,True
PP-0024,GIS-245-3150,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,168.0,5.0,163.0,173.0,25.0,1.5,46,True
PP-0025,GIS-245-4000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,170.0,5.0,165.0,175.0,25.0,1.5,47,True
PP-0026,GIS-245-4000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,170.0,5.0,165.0,175.0,25.0,1.5,47,True
PP-0027,GIS-245-4000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,170.0,5.0,165.0,175.0,25.0,1.5,47,True
PP-0028,GIS-245-4000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,170.0,5.0,165.0,175.0,25.0,1.5,47,True
PP-0029,GIS-300-4000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,175.0,5.0,170.0,180.0,25.0,1.5,50,True
PP-0030,GIS-300-4000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,175.0,5.0,170.0,180.0,25.0,1.5,50,True
PP-0031,GIS-300-4000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,175.0,5.0,170.0,180.0,25.0,1.5,50,True
PP-0032,GIS-300-4000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,175.0,5.0,170.0,180.0,25.0,1.5,50,True
PP-0033,GIS-420-4000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,180.0,5.0,175.0,185.0,25.0,1.5,55,True
PP-0034,GIS-420-4000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,180.0,5.0,175.0,185.0,25.0,1.5,55,True
PP-0035,GIS-420-4000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,180.0,5.0,175.0,185.0,25.0,1.5,55,True
PP-0036,GIS-420-4000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,180.0,5.0,175.0,185.0,25.0,1.5,55,True
PP-0037,GIS-420-5000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,185.0,5.0,180.0,190.0,25.0,1.5,58,True
