product_id,product_code,product_name,family,rated_voltage_kv,rated_current_a,short_circuit_rating_ka,target_force_kn,force_tolerance_kn,average_cycle_time_sec,dielectric_test_voltage_kv,pressure_test_bar
PRD-0001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,ProductFamily.GIS_BAY,72.5,2500,31.5,145,5,35,140,8
PRD-0002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,ProductFamily.GIS_BAY,72.5,3150,31.5,150,5,36,140,8
PRD-0003,GIS-145-3150,GIS Bay 145 kV / 3150 A,ProductFamily.GIS_BAY,145.0,3150,40.0,155,5,40,275,8
PRD-0004,GIS-145-4000,GIS Bay 145 kV / 4000 A,ProductFamily.GIS_BAY,145.0,4000,40.0,160,5,42,275,8
PRD-0005,GIS-170-4000,GIS Bay 170 kV / 4000 A,ProductFamily.GIS_BAY,170.0,4000,40.0,162,5,43,325,8
PRD-0006,GIS-245-3150,GIS Bay 245 kV / 3150 A,ProductFamily.GIS_BAY,245.0,3150,50.0,168,5,46,460,9
PRD-0007,GIS-245-4000,GIS Bay 245 kV / 4000 A,ProductFamily.GIS_BAY,245.0,4000,50.0,170,5,47,460,9
PRD-0008,GIS-300-4000,GIS Bay 300 kV / 4000 A,ProductFamily.GIS_BAY,300.0,4000,50.0,175,5,50,510,9
PRD-0009,GIS-420-4000,GIS Bay 420 kV / 4000 A,ProductFamily.GIS_BAY,420.0,4000,63.0,180,5,55,680,10
PRD-0010,GIS-420-5000,GIS Bay 420 kV / 5000 A,ProductFamily.GIS_BAY,420.0,5000,63.0,185,5,58,680,10
PRD-0011,GIS-550-5000,GIS Bay 550 kV / 5000 A,ProductFamily.GIS_BAY,550.0,5000,63.0,195,5,62,950,10
PRD-0012,GIS-800-5000,GIS Bay 800 kV / 5000 A,ProductFamily.GIS_BAY,800.0,5000,63.0,205,5,70,1425,11
