scan_id,serial_number,execution_id,product_code,material_number,batch_number,supplier,scan_timestamp,scan_status
SCAN-00000001,SN-00000001,EXEC-000001,GIS-072-2500,MAT-00000001,BATCH-77155,Siemens Energy,2026-01-05 06:24:00,SUCCESS
SCAN-00000002,SN-00000002,EXEC-000001,GIS-072-2500,MAT-00000002,BATCH-28488,Hitachi Energy,2026-01-05 06:05:00,SUCCESS
SCAN-00000003,SN-00000003,EXEC-000001,GIS-072-2500,MAT-00000003,BATCH-70951,Siemens Energy,2026-01-05 06:34:00,SUCCESS
SCAN-00000004,SN-00000004,EXEC-000001,GIS-072-2500,MAT-00000004,BATCH-95360,Siemens Energy,2026-01-05 06:29:00,SUCCESS
SCAN-00000005,SN-00000005,EXEC-000001,GIS-072-2500,MAT-00000005,BATCH-84668,Mitsubishi Electric,2026-01-05 06:13:00,SUCCESS
SCAN-00000006,SN-00000006,EXEC-000002,GIS-072-3150,MAT-00000006,BATCH-61411,ABB,2026-01-05 06:21:00,SUCCESS
SCAN-00000007,SN-00000007,EXEC-000002,GIS-072-3150,MAT-00000007,BATCH-72449,ABB,2026-01-05 06:37:00,SUCCESS
SCAN-00000008,SN-00000008,EXEC-000002,GIS-072-3150,MAT-00000008,BATCH-94483,Siemens Energy,2026-01-05 06:26:00,SUCCESS
SCAN-00000009,SN-00000009,EXEC-000002,GIS-072-3150,MAT-00000009,BATCH-20937,ABB,2026-01-05 06:44:00,SUCCESS
SCAN-00000010,SN-00000010,EXEC-000002,GIS-072-3150,MAT-00000010,BATCH-61424,Hitachi Energy,2026-01-05 06:41:00,SUCCESS
SCAN-00000011,SN-00000011,EXEC-000003,GIS-245-4000,MAT-00000011,BATCH-93438,Mitsubishi Electric,2026-01-05 06:49:00,SUCCESS
SCAN-00000012,SN-00000012,EXEC-000003,GIS-245-4000,MAT-00000012,BATCH-84014,Mitsubishi Electric,2026-01-05 07:19:00,SUCCESS
SCAN-00000013,SN-00000013,EXEC-000003,GIS-245-4000,MAT-00000013,BATCH-62349,Siemens Energy,2026-01-05 07:11:00,SUCCESS
SCAN-00000014,SN-00000014,EXEC-000004,GIS-145-3150,MAT-00000014,BATCH-66262,Hitachi Energy,2026-01-05 07:30:00,SUCCESS
SCAN-00000015,SN-00000015,EXEC-000004,GIS-145-3150,MAT-00000015,BATCH-36951,Siemens Energy,2026-01-05 07:16:00,SUCCESS
SCAN-00000016,SN-00000016,EXEC-000005,GIS-072-3150,MAT-00000016,BATCH-44950,Siemens Energy,2026-01-05 07:39:00,SUCCESS
SCAN-00000017,SN-00000017,EXEC-000005,GIS-072-3150,MAT-00000017,BATCH-79704,Siemens Energy,2026-01-05 07:30:00,SUCCESS
SCAN-00000018,SN-00000018,EXEC-000005,GIS-072-3150,MAT-00000018,BATCH-29936,Schneider Electric,2026-01-05 07:37:00,SUCCESS
SCAN-00000019,SN-00000019,EXEC-000005,GIS-072-3150,MAT-00000019,BATCH-28315,Siemens Energy,2026-01-05 07:46:00,SUCCESS
SCAN-00000020,SN-00000020,EXEC-000005,GIS-072-3150,MAT-00000020,BATCH-29187,Schneider Electric,2026-01-05 07:59:00,SUCCESS
SCAN-00000021,SN-00000021,EXEC-000006,GIS-072-3150,MAT-00000021,BATCH-68419,Hitachi Energy,2026-01-05 07:47:00,SUCCESS
SCAN-00000022,SN-00000022,EXEC-000006,GIS-072-3150,MAT-00000022,BATCH-58346,Siemens Energy,2026-01-05 08:16:00,SUCCESS
SCAN-00000023,SN-00000023,EXEC-000006,GIS-072-3150,MAT-00000023,BATCH-10867,Siemens Energy,2026-01-05 08:02:00,SUCCESS
SCAN-00000024,SN-00000024,EXEC-000006,GIS-072-3150,MAT-00000024,BATCH-90284,Siemens Energy,2026-01-05 07:45:00,SUCCESS
SCAN-00000025,SN-00000025,EXEC-000006,GIS-072-3150,MAT-00000025,BATCH-96504,Schneider Electric,2026-01-05 08:14:00,SUCCESS
SCAN-00000026,SN-00000026,EXEC-000007,GIS-145-3150,MAT-00000026,BATCH-23854,Schneider Electric,2026-01-05 08:05:00,SUCCESS
SCAN-00000027,SN-00000027,EXEC-000007,GIS-145-3150,MAT-00000027,BATCH-81280,Hitachi Energy,2026-01-05 08:17:00,SUCCESS
SCAN-00000028,SN-00000028,EXEC-000007,GIS-145-3150,MAT-00000028,BATCH-90142,Siemens Energy,2026-01-05 08:11:00,SUCCESS
SCAN-00000029,SN-00000029,EXEC-000008,GIS-245-4000,MAT-00000029,BATCH-57771,Schneider Electric,2026-01-05 08:45:00,SUCCESS
SCAN-00000030,SN-00000030,EXEC-000009,GIS-072-3150,MAT-00000030,BATCH-34423,Mitsubishi Electric,2026-01-05 09:02:00,SUCCESS
SCAN-00000031,SN-00000031,EXEC-000009,GIS-072-3150,MAT-00000031,BATCH-15870,ABB,2026-01-05 09:01:00,SUCCESS
SCAN-00000032,SN-00000032,EXEC-000009,GIS-072-3150,MAT-00000032,BATCH-21314,Hitachi Energy,2026-01-05 09:03:00,SUCCESS
SCAN-00000033,SN-00000033,EXEC-000009,GIS-072-3150,MAT-00000033,BATCH-86368,ABB,2026-01-05 08:56:00,SUCCESS
SCAN-00000034,SN-00000034,EXEC-000010,GIS-072-3150,MAT-00000034,BATCH-86745,Siemens Energy,2026-01-05 09:16:00,SUCCESS
SCAN-00000035,SN-00000035,EXEC-000010,GIS-072-3150,MAT-00000035,BATCH-85778,Hitachi Energy,2026-01-05 09:01:00,SUCCESS
SCAN-00000036,SN-00000036,EXEC-000010,GIS-072-3150,MAT-00000036,BATCH-24485,Siemens Energy,2026-01-05 09:05:00,SUCCESS
SCAN-00000037,SN-00000037,EXEC-000010,GIS-072-3150,MAT-00000037,BATCH-73699,Schneider Electric,2026-01-05 09:01:00,SUCCESS
SCAN-00000038,SN-00000038,EXEC-000011,GIS-145-3150,MAT-00000038,BATCH-28911,Siemens Energy,2026-01-05 09:28:00,SUCCESS
SCAN-00000039,SN-00000039,EXEC-000011,GIS-145-3150,MAT-00000039,BATCH-81692,Schneider Electric,2026-01-05 09:26:00,SUCCESS
SCAN-00000040,SN-00000040,EXEC-000011,GIS-145-3150,MAT-00000040,BATCH-64645,ABB,2026-01-05 09:36:00,SUCCESS
SCAN-00000041,SN-00000041,EXEC-000012,GIS-170-4000,MAT-00000041,BATCH-63174,ABB,2026-01-05 09:41:00,SUCCESS
SCAN-00000042,SN-00000042,EXEC-000012,GIS-170-4000,MAT-00000042,BATCH-65264,Hitachi Energy,2026-01-05 09:50:00,SUCCESS
SCAN-00000043,SN-00000043,EXEC-000013,GIS-145-4000,MAT-00000043,BATCH-71555,Mitsubishi Electric,2026-01-05 10:15:00,SUCCESS
