login_id,operator_id,machine_id,execution_id,work_order_id,shift,login_time,logout_time,login_status
LOGIN-00000001,OP-0023,MOT-L3-S60,EXEC-000001,WO-20260105-000001,ShiftType.MORNING,2026-01-05 06:35:00,2026-01-05 07:17:00,LOGIN_SUCCESS
LOGIN-00000002,OP-0049,PLT-L1-S80,EXEC-000002,WO-20260105-000002,ShiftType.MORNING,2026-01-05 07:00:00,2026-01-05 07:36:00,LOGIN_SUCCESS
LOGIN-00000003,OP-0007,PLT-L1-S80,EXEC-000003,WO-20260105-000003,ShiftType.MORNING,2026-01-05 07:15:00,2026-01-05 08:00:00,LOGIN_SUCCESS
LOGIN-00000004,OP-0024,VIS-L1-S50,EXEC-000004,WO-20260105-000004,ShiftType.MORNING,2026-01-05 07:37:00,2026-01-05 08:19:00,LOGIN_SUCCESS
LOGIN-00000005,OP-0052,ASM-L3-S20,EXEC-000005,WO-20260105-000005,ShiftType.MORNING,2026-01-05 07:56:00,2026-01-05 08:37:00,LOGIN_SUCCESS
LOGIN-00000006,OP-0017,VIS-L1-S50,EXEC-000006,WO-20260105-000006,ShiftType.MORNING,2026-01-05 08:20:00,2026-01-05 08:56:00,LOGIN_SUCCESS
LOGIN-00000007,OP-0071,PKG-L2-S90,EXEC-000007,WO-20260105-000007,ShiftType.MORNING,2026-01-05 08:43:00,2026-01-05 09:20:00,LOGIN_SUCCESS
LOGIN-00000008,OP-0010,DTA-L1-S30,EXEC-000008,WO-20260105-000008,ShiftType.MORNING,2026-01-05 09:02:00,2026-01-05 09:40:00,LOGIN_SUCCESS
LOGIN-00000009,OP-0038,GBA-L5-S40,EXEC-000009,WO-20260105-000009,ShiftType.MORNING,2026-01-05 09:23:00,2026-01-05 09:59:00,LOGIN_SUCCESS
LOGIN-00000010,OP-0036,DTA-L2-S30,EXEC-000010,WO-20260105-000010,ShiftType.MORNING,2026-01-05 09:38:00,2026-01-05 10:16:00,LOGIN_SUCCESS
LOGIN-00000011,OP-0001,ASM-L6-S20,EXEC-000011,WO-20260105-000011,ShiftType.MORNING,2026-01-05 10:00:00,2026-01-05 10:38:00,LOGIN_SUCCESS
LOGIN-00000012,OP-0063,PLT-L5-S80,EXEC-000012,WO-20260105-000012,ShiftType.MORNING,2026-01-05 10:19:00,2026-01-05 10:57:00,LOGIN_SUCCESS
LOGIN-00000013,OP-0022,PKG-L2-S90,EXEC-000013,WO-20260105-000013,ShiftType.MORNING,2026-01-05 10:40:00,2026-01-05 11:18:00,LOGIN_SUCCESS
LOGIN-00000014,OP-0022,HVT-L4-S70,EXEC-000014,WO-20260105-000014,ShiftType.MORNING,2026-01-05 10:56:00,2026-01-05 11:38:00,LOGIN_SUCCESS
LOGIN-00000015,OP-0035,DTA-L2-S30,EXEC-000015,WO-20260105-000015,ShiftType.MORNING,2026-01-05 11:18:00,2026-01-05 11:57:00,LOGIN_SUCCESS
LOGIN-00000016,OP-0012,DTA-L5-S30,EXEC-000016,WO-20260105-000016,ShiftType.MORNING,2026-01-05 11:37:00,2026-01-05 12:16:00,LOGIN_SUCCESS
LOGIN-00000017,OP-0054,PLT-L4-S80,EXEC-000017,WO-20260105-000017,ShiftType.MORNING,2026-01-05 12:02:00,2026-01-05 12:40:00,LOGIN_SUCCESS
LOGIN-00000018,OP-0072,PKG-L4-S90,EXEC-000018,WO-20260105-000018,ShiftType.MORNING,2026-01-05 12:18:00,2026-01-05 12:56:00,LOGIN_SUCCESS
LOGIN-00000019,OP-0001,PF-L4-S10,EXEC-000019,WO-20260105-000019,ShiftType.MORNING,2026-01-05 12:42:00,2026-01-05 13:17:00,LOGIN_SUCCESS
LOGIN-00000020,OP-0043,GBA-L1-S40,EXEC-000020,WO-20260105-000020,ShiftType.MORNING,2026-01-05 12:56:00,2026-01-05 13:40:00,LOGIN_SUCCESS
LOGIN-00000021,OP-0043,HVT-L4-S70,EXEC-000021,WO-20260105-000021,ShiftType.MORNING,2026-01-05 13:19:00,2026-01-05 13:59:00,LOGIN_SUCCESS
LOGIN-00000022,OP-0033,GBA-L1-S40,EXEC-000022,WO-20260105-000022,ShiftType.MORNING,2026-01-05 13:39:00,2026-01-05 14:16:00,LOGIN_SUCCESS
LOGIN-00000023,OP-0024,DTA-L3-S30,EXEC-000023,WO-20260105-000023,ShiftType.MORNING,2026-01-05 14:01:00,2026-01-05 14:39:00,LOGIN_SUCCESS
LOGIN-00000024,OP-0030,MOT-L4-S60,EXEC-000024,WO-20260106-000024,ShiftType.MORNING,2026-01-06 06:37:00,2026-01-06 07:17:00,LOGIN_SUCCESS
LOGIN-00000025,OP-0057,VIS-L4-S50,EXEC-000025,WO-20260106-000025,ShiftType.MORNING,2026-01-06 07:02:00,2026-01-06 07:37:00,LOGIN_SUCCESS
LOGIN-00000026,OP-0043,MOT-L1-S60,EXEC-000026,WO-20260106-000026,ShiftType.MORNING,2026-01-06 07:19:00,2026-01-06 07:57:00,LOGIN_SUCCESS
LOGIN-00000027,OP-0013,GBA-L6-S40,EXEC-000027,WO-20260106-000027,ShiftType.MORNING,2026-01-06 07:39:00,2026-01-06 08:20:00,LOGIN_SUCCESS
LOGIN-00000028,OP-0036,DTA-L3-S30,EXEC-000028,WO-20260106-000028,ShiftType.MORNING,2026-01-06 08:01:00,2026-01-06 08:38:00,LOGIN_SUCCESS
LOGIN-00000029,OP-0071,PKG-L5-S90,EXEC-000029,WO-20260106-000029,ShiftType.MORNING,2026-01-06 08:16:00,2026-01-06 09:00:00,LOGIN_SUCCESS
LOGIN-00000030,OP-0053,MOT-L2-S60,EXEC-000030,WO-20260106-000030,ShiftType.MORNING,2026-01-06 08:42:00,2026-01-06 09:20:00,LOGIN_SUCCESS
LOGIN-00000031,OP-0045,VIS-L6-S50,EXEC-000031,WO-20260106-000031,ShiftType.MORNING,2026-01-06 08:59:00,2026-01-06 09:38:00,LOGIN_SUCCESS
LOGIN-00000032,OP-0005,HVT-L4-S70,EXEC-000032,WO-20260106-000032,ShiftType.MORNING,2026-01-06 09:22:00,2026-01-06 09:56:00,LOGIN_SUCCESS
LOGIN-00000033,OP-0025,HVT-L3-S70,EXEC-000033,WO-20260106-000033,ShiftType.MORNING,2026-01-06 09:35:00,2026-01-06 10:19:00,LOGIN_SUCCESS
LOGIN-00000034,OP-0029,PKG-L1-S90,EXEC-000034,WO-20260106-000034,ShiftType.MORNING,2026-01-06 10:02:00,2026-01-06 10:40:00,LOGIN_SUCCESS
LOGIN-00000035,OP-0009,HVT-L1-S70,EXEC-000035,WO-20260106-000035,ShiftType.MORNING,2026-01-06 10:15:00,2026-01-06 10:57:00,LOGIN_SUCCESS
LOGIN-00000036,OP-0038,MOT-L3-S60,EXEC-000036,WO-20260106-000036,ShiftType.MORNING,2026-01-06 10:39:00,2026-01-06 11:20:00,LOGIN_SUCCESS
LOGIN-00000037,OP-0025,PF-L4-S10,EXEC-000037,WO-20260106-000037,ShiftType.MORNING,2026-01-06 10:59:00,2026-01-06 11:39:00,LOGIN_SUCCESS
LOGIN-00000038,OP-0046,VIS-L2-S50,EXEC-000038,WO-20260106-000038,ShiftType.MORNING,2026-01-06 11:20:00,2026-01-06 12:00:00,LOGIN_SUCCESS
LOGIN-00000039,OP-0005,PF-L4-S10,EXEC-000039,WO-20260106-000039,ShiftType.MORNING,2026-01-06 11:41:00,2026-01-06 12:20:00,LOGIN_SUCCESS
LOGIN-00000040,OP-0071,ASM-L4-S20,EXEC-000040,WO-20260106-000040,ShiftType.MORNING,2026-01-06 11:59:00,2026-01-06 12:39:00,LOGIN_SUCCESS
LOGIN-00000041,OP-0047,PF-L3-S10,EXEC-000041,WO-20260106-000041,ShiftType.MORNING,2026-01-06 12:21:00,2026-01-06 12:59:00,LOGIN_SUCCESS
LOGIN-00000042,OP-0025,PF-L1-S10,EXEC-000042,WO-20260106-000042,ShiftType.MORNING,2026-01-06 12:39:00,2026-01-06 13:16:00,LOGIN_SUCCESS
LOGIN-00000043,OP-0067,MOT-L1-S60,EXEC-000043,WO-20260106-000043,ShiftType.MORNING,2026-01-06 13:03:00,2026-01-06 13:37:00,LOGIN_SUCCESS
LOGIN-00000044,OP-0026,HVT-L1-S70,EXEC-000044,WO-20260106-000044,ShiftType.MORNING,2026-01-06 13:21:00,2026-01-06 13:59:00,LOGIN_SUCCESS
LOGIN-00000045,OP-0017,GBA-L6-S40,EXEC-000045,WO-20260106-000045,ShiftType.MORNING,2026-01-06 13:37:00,2026-01-06 14:18:00,LOGIN_SUCCESS
LOGIN-00000046,OP-0068,MOT-L1-S60,EXEC-000046,WO-20260106-000046,ShiftType.MORNING,2026-01-06 13:58:00,2026-01-06 14:40:00,LOGIN_SUCCESS
LOGIN-00000047,OP-0001,HVT-L5-S70,EXEC-000047,WO-20260107-000047,ShiftType.MORNING,2026-01-07 06:40:00,2026-01-07 07:19:00,LOGIN_SUCCESS
LOGIN-00000048,OP-0041,HVT-L1-S70,EXEC-000048,WO-20260107-000048,ShiftType.MORNING,2026-01-07 06:55:00,2026-01-07 07:39:00,LOGIN_SUCCESS
LOGIN-00000049,OP-0044,HVT-L3-S70,EXEC-000049,WO-20260107-000049,ShiftType.MORNING,2026-01-07 07:18:00,2026-01-07 07:56:00,LOGIN_SUCCESS
LOGIN-00000050,OP-0025,HVT-L4-S70,EXEC-000050,WO-20260107-000050,ShiftType.MORNING,2026-01-07 07:42:00,2026-01-07 08:19:00,LOGIN_SUCCESS
LOGIN-00000051,OP-0054,VIS-L4-S50,EXEC-000051,WO-20260107-000051,ShiftType.MORNING,2026-01-07 08:03:00,2026-01-07 08:38:00,LOGIN_SUCCESS
LOGIN-00000052,OP-0054,MOT-L2-S60,EXEC-000052,WO-20260107-000052,ShiftType.MORNING,2026-01-07 08:22:00,2026-01-07 08:57:00,LOGIN_SUCCESS
LOGIN-00000053,OP-0053,MOT-L4-S60,EXEC-000053,WO-20260107-000053,ShiftType.MORNING,2026-01-07 08:35:00,2026-01-07 09:19:00,LOGIN_SUCCESS
LOGIN-00000054,OP-0064,ASM-L3-S20,EXEC-000054,WO-20260107-000054,ShiftType.MORNING,2026-01-07 09:03:00,2026-01-07 09:36:00,LOGIN_SUCCESS
LOGIN-00000055,OP-0068,GBA-L3-S40,EXEC-000055,WO-20260107-000055,ShiftType.MORNING,2026-01-07 09:23:00,2026-01-07 09:56:00,LOGIN_SUCCESS
LOGIN-00000056,OP-0063,GBA-L1-S40,EXEC-000056,WO-20260107-000056,ShiftType.MORNING,2026-01-07 09:41:00,2026-01-07 10:17:00,LOGIN_SUCCESS
LOGIN-00000057,OP-0028,MOT-L3-S60,EXEC-000057,WO-20260107-000057,ShiftType.MORNING,2026-01-07 10:03:00,2026-01-07 10:38:00,LOGIN_SUCCESS
LOGIN-00000058,OP-0053,MOT-L6-S60,EXEC-000058,WO-20260107-000058,ShiftType.MORNING,2026-01-07 10:17:00,2026-01-07 10:59:00,LOGIN_SUCCESS
LOGIN-00000059,OP-0028,DTA-L6-S30,EXEC-000059,WO-20260107-000059,ShiftType.MORNING,2026-01-07 10:40:00,2026-01-07 11:19:00,LOGIN_SUCCESS
LOGIN-00000060,OP-0031,PF-L1-S10,EXEC-000060,WO-20260107-000060,ShiftType.MORNING,2026-01-07 11:02:00,2026-01-07 11:38:00,LOGIN_SUCCESS
LOGIN-00000061,OP-0052,PLT-L1-S80,EXEC-000061,WO-20260107-000061,ShiftType.MORNING,2026-01-07 11:15:00,2026-01-07 11:56:00,LOGIN_SUCCESS
LOGIN-00000062,OP-0016,PKG-L5-S90,EXEC-000062,WO-20260107-000062,ShiftType.MORNING,2026-01-07 11:39:00,2026-01-07 12:19:00,LOGIN_SUCCESS
LOGIN-00000063,OP-0034,HVT-L2-S70,EXEC-000063,WO-20260107-000063,ShiftType.MORNING,2026-01-07 12:03:00,2026-01-07 12:40:00,LOGIN_SUCCESS
LOGIN-00000064,OP-0023,GBA-L5-S40,EXEC-000064,WO-20260107-000064,ShiftType.MORNING,2026-01-07 12:16:00,2026-01-07 12:57:00,LOGIN_SUCCESS
LOGIN-00000065,OP-0035,VIS-L2-S50,EXEC-000065,WO-20260107-000065,ShiftType.MORNING,2026-01-07 12:40:00,2026-01-07 13:19:00,LOGIN_SUCCESS
LOGIN-00000066,OP-0023,GBA-L3-S40,EXEC-000066,WO-20260107-000066,ShiftType.MORNING,2026-01-07 13:02:00,2026-01-07 13:40:00,LOGIN_SUCCESS
LOGIN-00000067,OP-0028,MOT-L4-S60,EXEC-000067,WO-20260107-000067,ShiftType.MORNING,2026-01-07 13:22:00,2026-01-07 13:57:00,LOGIN_SUCCESS
LOGIN-00000068,OP-0007,GBA-L5-S40,EXEC-000068,WO-20260107-000068,ShiftType.MORNING,2026-01-07 13:35:00,2026-01-07 14:19:00,LOGIN_SUCCESS
LOGIN-00000069,OP-0013,PLT-L5-S80,EXEC-000069,WO-20260108-000069,ShiftType.MORNING,2026-01-08 06:35:00,2026-01-08 07:18:00,LOGIN_SUCCESS
LOGIN-00000070,OP-0055,DTA-L6-S30,EXEC-000070,WO-20260108-000070,ShiftType.MORNING,2026-01-08 06:56:00,2026-01-08 07:40:00,LOGIN_SUCCESS
LOGIN-00000071,OP-0052,VIS-L6-S50,EXEC-000071,WO-20260108-000071,ShiftType.MORNING,2026-01-08 07:20:00,2026-01-08 08:00:00,LOGIN_SUCCESS
LOGIN-00000072,OP-0068,PLT-L3-S80,EXEC-000072,WO-20260108-000072,ShiftType.MORNING,2026-01-08 07:37:00,2026-01-08 08:16:00,LOGIN_SUCCESS
LOGIN-00000073,OP-0003,ASM-L5-S20,EXEC-000073,WO-20260108-000073,ShiftType.MORNING,2026-01-08 07:59:00,2026-01-08 08:39:00,LOGIN_SUCCESS
LOGIN-00000074,OP-0014,HVT-L4-S70,EXEC-000074,WO-20260108-000074,ShiftType.MORNING,2026-01-08 08:20:00,2026-01-08 08:59:00,LOGIN_SUCCESS
LOGIN-00000075,OP-0020,MOT-L2-S60,EXEC-000075,WO-20260108-000075,ShiftType.MORNING,2026-01-08 08:40:00,2026-01-08 09:20:00,LOGIN_SUCCESS
LOGIN-00000076,OP-0055,DTA-L5-S30,EXEC-000076,WO-20260108-000076,ShiftType.MORNING,2026-01-08 08:55:00,2026-01-08 09:36:00,LOGIN_SUCCESS
LOGIN-00000077,OP-0060,MOT-L2-S60,EXEC-000077,WO-20260108-000077,ShiftType.MORNING,2026-01-08 09:18:00,2026-01-08 09:56:00,LOGIN_SUCCESS
LOGIN-00000078,OP-0044,GBA-L1-S40,EXEC-000078,WO-20260108-000078,ShiftType.MORNING,2026-01-08 09:43:00,2026-01-08 10:20:00,LOGIN_SUCCESS
LOGIN-00000079,OP-0046,HVT-L3-S70,EXEC-000079,WO-20260108-000079,ShiftType.MORNING,2026-01-08 09:58:00,2026-01-08 10:38:00,LOGIN_SUCCESS
LOGIN-00000080,OP-0062,PLT-L5-S80,EXEC-000080,WO-20260108-000080,ShiftType.MORNING,2026-01-08 10:18:00,2026-01-08 10:59:00,LOGIN_SUCCESS
LOGIN-00000081,OP-0013,GBA-L6-S40,EXEC-000081,WO-20260108-000081,ShiftType.MORNING,2026-01-08 10:41:00,2026-01-08 11:16:00,LOGIN_SUCCESS
LOGIN-00000082,OP-0036,DTA-L1-S30,EXEC-000082,WO-20260108-000082,ShiftType.MORNING,2026-01-08 11:02:00,2026-01-08 11:36:00,LOGIN_SUCCESS
LOGIN-00000083,OP-0063,PLT-L1-S80,EXEC-000083,WO-20260108-000083,ShiftType.MORNING,2026-01-08 11:21:00,2026-01-08 12:00:00,LOGIN_SUCCESS
LOGIN-00000084,OP-0045,DTA-L1-S30,EXEC-000084,WO-20260108-000084,ShiftType.MORNING,2026-01-08 11:41:00,2026-01-08 12:17:00,LOGIN_SUCCESS
LOGIN-00000085,OP-0034,ASM-L6-S20,EXEC-000085,WO-20260108-000085,ShiftType.MORNING,2026-01-08 11:58:00,2026-01-08 12:36:00,LOGIN_SUCCESS
LOGIN-00000086,OP-0049,ASM-L5-S20,EXEC-000086,WO-20260108-000086,ShiftType.MORNING,2026-01-08 12:17:00,2026-01-08 12:59:00,LOGIN_SUCCESS
LOGIN-00000087,OP-0031,MOT-L6-S60,EXEC-000087,WO-20260108-000087,ShiftType.MORNING,2026-01-08 12:35:00,2026-01-08 13:17:00,LOGIN_SUCCESS
LOGIN-00000088,OP-0032,DTA-L3-S30,EXEC-000088,WO-20260108-000088,ShiftType.MORNING,2026-01-08 12:57:00,2026-01-08 13:39:00,LOGIN_SUCCESS
LOGIN-00000089,OP-0045,PLT-L5-S80,EXEC-000089,WO-20260108-000089,ShiftType.MORNING,2026-01-08 13:23:00,2026-01-08 13:58:00,LOGIN_SUCCESS
LOGIN-00000090,OP-0050,DTA-L4-S30,EXEC-000090,WO-20260108-000090,ShiftType.MORNING,2026-01-08 13:39:00,2026-01-08 14:19:00,LOGIN_SUCCESS
LOGIN-00000091,OP-0002,DTA-L1-S30,EXEC-000091,WO-20260108-000091,ShiftType.MORNING,2026-01-08 13:56:00,2026-01-08 14:38:00,LOGIN_SUCCESS
LOGIN-00000092,OP-0044,PF-L4-S10,EXEC-000092,WO-20260109-000092,ShiftType.MORNING,2026-01-09 06:38:00,2026-01-09 07:17:00,LOGIN_SUCCESS
LOGIN-00000093,OP-0029,PLT-L4-S80,EXEC-000093,WO-20260109-000093,ShiftType.MORNING,2026-01-09 06:59:00,2026-01-09 07:36:00,LOGIN_SUCCESS
LOGIN-00000094,OP-0014,HVT-L4-S70,EXEC-000094,WO-20260109-000094,ShiftType.MORNING,2026-01-09 07:22:00,2026-01-09 07:57:00,LOGIN_SUCCESS
LOGIN-00000095,OP-0061,VIS-L5-S50,EXEC-000095,WO-20260109-000095,ShiftType.MORNING,2026-01-09 07:42:00,2026-01-09 08:19:00,LOGIN_SUCCESS
