package_id,serial_number,execution_id,product_code,package_type,package_weight_kg,package_length_mm,package_width_mm,package_height_mm,packaging_start,packaging_end,packaging_status
PKG-00000001,SN-00000001,EXEC-000001,GIS-072-2500,WOODEN_CRATE,494.95,1851,1481,2001,2026-01-05 07:03:00,2026-01-05 07:05:00,READY_FOR_SHIPMENT
PKG-00000002,SN-00000002,EXEC-000001,GIS-072-2500,WOODEN_CRATE,315.98,2009,1758,1678,2026-01-05 07:03:00,2026-01-05 07:05:00,READY_FOR_SHIPMENT
PKG-00000003,SN-00000003,EXEC-000001,GIS-072-2500,WOODEN_CRATE,473.91,1865,1230,1691,2026-01-05 07:03:00,2026-01-05 07:05:00,READY_FOR_SHIPMENT
PKG-00000004,SN-00000004,EXEC-000001,GIS-072-2500,WOODEN_CRATE,314.01,2834,1227,1907,2026-01-05 07:03:00,2026-01-05 07:05:00,READY_FOR_SHIPMENT
PKG-00000005,SN-00000005,EXEC-000001,GIS-072-2500,WOODEN_CRATE,527.89,2916,1629,1951,2026-01-05 07:03:00,2026-01-05 07:05:00,READY_FOR_SHIPMENT
PKG-00000006,SN-00000006,EXEC-000002,GIS-072-3150,WOODEN_CRATE,413.16,2369,1206,1826,2026-01-05 07:23:00,2026-01-05 07:25:00,READY_FOR_SHIPMENT
PKG-00000007,SN-00000007,EXEC-000002,GIS-072-3150,WOODEN_CRATE,520.2,2496,1484,1818,2026-01-05 07:23:00,2026-01-05 07:25:00,READY_FOR_SHIPMENT
PKG-00000008,SN-00000008,EXEC-000002,GIS-072-3150,WOODEN_CRATE,312.58,2489,1304,1689,2026-01-05 07:23:00,2026-01-05 07:25:00,READY_FOR_SHIPMENT
PKG-00000009,SN-00000009,EXEC-000002,GIS-072-3150,WOODEN_CRATE,383.37,2535,1552,2041,2026-01-05 07:23:00,2026-01-05 07:25:00,READY_FOR_SHIPMENT
PKG-00000010,SN-00000010,EXEC-000002,GIS-072-3150,WOODEN_CRATE,567.07,2740,1749,1755,2026-01-05 07:23:00,2026-01-05 07:25:00,READY_FOR_SHIPMENT
PKG-00000011,SN-00000011,EXEC-000003,GIS-245-4000,WOODEN_CRATE,638.44,2575,1280,2100,2026-01-05 07:43:00,2026-01-05 07:45:00,READY_FOR_SHIPMENT
PKG-00000012,SN-00000012,EXEC-000003,GIS-245-4000,WOODEN_CRATE,576.64,3066,1570,1893,2026-01-05 07:43:00,2026-01-05 07:45:00,READY_FOR_SHIPMENT
PKG-00000013,SN-00000013,EXEC-000003,GIS-245-4000,WOODEN_CRATE,522.97,1893,1433,2092,2026-01-05 07:43:00,2026-01-05 07:45:00,READY_FOR_SHIPMENT
PKG-00000014,SN-00000014,EXEC-000004,GIS-145-3150,WOODEN_CRATE,643.65,2276,1303,2278,2026-01-05 08:03:00,2026-01-05 08:05:00,READY_FOR_SHIPMENT
PKG-00000015,SN-00000015,EXEC-000004,GIS-145-3150,WOODEN_CRATE,339.53,3101,1573,1833,2026-01-05 08:03:00,2026-01-05 08:05:00,READY_FOR_SHIPMENT
PKG-00000016,SN-00000016,EXEC-000005,GIS-072-3150,WOODEN_CRATE,379.18,2229,1473,1646,2026-01-05 08:23:00,2026-01-05 08:25:00,READY_FOR_SHIPMENT
PKG-00000017,SN-00000017,EXEC-000005,GIS-072-3150,WOODEN_CRATE,481.93,2150,1746,2001,2026-01-05 08:23:00,2026-01-05 08:25:00,READY_FOR_SHIPMENT
PKG-00000018,SN-00000018,EXEC-000005,GIS-072-3150,WOODEN_CRATE,290.26,2577,1476,1949,2026-01-05 08:23:00,2026-01-05 08:25:00,READY_FOR_SHIPMENT
PKG-00000019,SN-00000019,EXEC-000005,GIS-072-3150,WOODEN_CRATE,514.38,1914,1434,1565,2026-01-05 08:23:00,2026-01-05 08:25:00,READY_FOR_SHIPMENT
PKG-00000020,SN-00000020,EXEC-000005,GIS-072-3150,WOODEN_CRATE,566.17,2621,1474,1635,2026-01-05 08:23:00,2026-01-05 08:25:00,READY_FOR_SHIPMENT
PKG-00000021,SN-00000021,EXEC-000006,GIS-072-3150,WOODEN_CRATE,310.72,2961,1522,1935,2026-01-05 08:43:00,2026-01-05 08:45:00,READY_FOR_SHIPMENT
PKG-00000022,SN-00000022,EXEC-000006,GIS-072-3150,WOODEN_CRATE,501.84,2610,1669,1792,2026-01-05 08:43:00,2026-01-05 08:45:00,READY_FOR_SHIPMENT
PKG-00000023,SN-00000023,EXEC-000006,GIS-072-3150,WOODEN_CRATE,333.9,2305,1774,2038,2026-01-05 08:43:00,2026-01-05 08:45:00,READY_FOR_SHIPMENT
PKG-00000024,SN-00000024,EXEC-000006,GIS-072-3150,WOODEN_CRATE,541.22,2677,1797,2317,2026-01-05 08:43:00,2026-01-05 08:45:00,READY_FOR_SHIPMENT
PKG-00000025,SN-00000025,EXEC-000006,GIS-072-3150,WOODEN_CRATE,375.66,2083,1721,2510,2026-01-05 08:43:00,2026-01-05 08:45:00,READY_FOR_SHIPMENT
PKG-00000026,SN-00000026,EXEC-000007,GIS-145-3150,WOODEN_CRATE,259.09,1896,1312,1813,2026-01-05 09:03:00,2026-01-05 09:05:00,READY_FOR_SHIPMENT
PKG-00000027,SN-00000027,EXEC-000007,GIS-145-3150,WOODEN_CRATE,489.8,3193,1632,1630,2026-01-05 09:03:00,2026-01-05 09:05:00,READY_FOR_SHIPMENT
PKG-00000028,SN-00000028,EXEC-000007,GIS-145-3150,WOODEN_CRATE,385.45,3020,1679,2583,2026-01-05 09:03:00,2026-01-05 09:05:00,READY_FOR_SHIPMENT
PKG-00000029,SN-00000029,EXEC-000008,GIS-245-4000,WOODEN_CRATE,328.11,2933,1211,1734,2026-01-05 09:23:00,2026-01-05 09:25:00,READY_FOR_SHIPMENT
PKG-00000030,SN-00000030,EXEC-000009,GIS-072-3150,WOODEN_CRATE,513.14,2899,1473,2196,2026-01-05 09:43:00,2026-01-05 09:45:00,READY_FOR_SHIPMENT
PKG-00000031,SN-00000031,EXEC-000009,GIS-072-3150,WOODEN_CRATE,267.97,2690,1361,2429,2026-01-05 09:43:00,2026-01-05 09:45:00,READY_FOR_SHIPMENT
PKG-00000032,SN-00000032,EXEC-000009,GIS-072-3150,WOODEN_CRATE,221.4,2339,1712,1865,2026-01-05 09:43:00,2026-01-05 09:45:00,READY_FOR_SHIPMENT
PKG-00000033,SN-00000033,EXEC-000009,GIS-072-3150,WOODEN_CRATE,438.3,2017,1505,2539,2026-01-05 09:43:00,2026-01-05 09:45:00,READY_FOR_SHIPMENT
PKG-00000034,SN-00000034,EXEC-000010,GIS-072-3150,WOODEN_CRATE,481.86,2113,1582,1830,2026-01-05 10:03:00,2026-01-05 10:05:00,READY_FOR_SHIPMENT
PKG-00000035,SN-00000035,EXEC-000010,GIS-072-3150,WOODEN_CRATE,451.93,2886,1200,2163,2026-01-05 10:03:00,2026-01-05 10:05:00,READY_FOR_SHIPMENT
PKG-00000036,SN-00000036,EXEC-000010,GIS-072-3150,WOODEN_CRATE,430.1,2029,1571,2129,2026-01-05 10:03:00,2026-01-05 10:05:00,READY_FOR_SHIPMENT
PKG-00000037,SN-00000037,EXEC-000010,GIS-072-3150,WOODEN_CRATE,322.96,2293,1780,1661,2026-01-05 10:03:00,2026-01-05 10:05:00,READY_FOR_SHIPMENT
PKG-00000038,SN-00000038,EXEC-000011,GIS-145-3150,WOODEN_CRATE,256.83,2795,1270,2590,2026-01-05 10:23:00,2026-01-05 10:25:00,READY_FOR_SHIPMENT
PKG-00000039,SN-00000039,EXEC-000011,GIS-145-3150,WOODEN_CRATE,549.31,2062,1686,1838,2026-01-05 10:23:00,2026-01-05 10:25:00,READY_FOR_SHIPMENT
PKG-00000040,SN-00000040,EXEC-000011,GIS-145-3150,WOODEN_CRATE,333.97,3042,1633,1933,2026-01-05 10:23:00,2026-01-05 10:25:00,READY_FOR_SHIPMENT
PKG-00000041,SN-00000041,EXEC-000012,GIS-170-4000,WOODEN_CRATE,619.43,2211,1519,2317,2026-01-05 10:43:00,2026-01-05 10:45:00,READY_FOR_SHIPMENT
PKG-00000042,SN-00000042,EXEC-000012,GIS-170-4000,WOODEN_CRATE,647.91,3130,1582,2397,2026-01-05 10:43:00,2026-01-05 10:45:00,READY_FOR_SHIPMENT
PKG-00000043,SN-00000043,EXEC-000013,GIS-145-4000,WOODEN_CRATE,606.83,2724,1323,2007,2026-01-05 11:03:00,2026-01-05 11:05:00,READY_FOR_SHIPMENT
PKG-00000044,SN-00000044,EXEC-000013,GIS-145-4000,WOODEN_CRATE,316.62,2492,1221,1971,2026-01-05 11:03:00,2026-01-05 11:05:00,READY_FOR_SHIPMENT
PKG-00000045,SN-00000045,EXEC-000013,GIS-145-4000,WOODEN_CRATE,473.03,1814,1272,1620,2026-01-05 11:03:00,2026-01-05 11:05:00,READY_FOR_SHIPMENT
PKG-00000046,SN-00000046,EXEC-000014,GIS-072-3150,WOODEN_CRATE,318.44,1864,1538,1645,2026-01-05 11:23:00,2026-01-05 11:25:00,READY_FOR_SHIPMENT
PKG-00000047,SN-00000047,EXEC-000014,GIS-072-3150,WOODEN_CRATE,441.09,2370,1697,1938,2026-01-05 11:23:00,2026-01-05 11:25:00,READY_FOR_SHIPMENT
PKG-00000048,SN-00000048,EXEC-000014,GIS-072-3150,WOODEN_CRATE,451.87,2969,1790,2468,2026-01-05 11:23:00,2026-01-05 11:25:00,READY_FOR_SHIPMENT
PKG-00000049,SN-00000049,EXEC-000014,GIS-072-3150,WOODEN_CRATE,324.49,2768,1616,1889,2026-01-05 11:23:00,2026-01-05 11:25:00,READY_FOR_SHIPMENT
PKG-00000050,SN-00000050,EXEC-000014,GIS-072-3150,WOODEN_CRATE,260.56,3149,1641,2225,2026-01-05 11:23:00,2026-01-05 11:25:00,READY_FOR_SHIPMENT
PKG-00000051,SN-00000051,EXEC-000015,GIS-300-4000,WOODEN_CRATE,402.14,2756,1255,1701,2026-01-05 11:43:00,2026-01-05 11:45:00,READY_FOR_SHIPMENT
PKG-00000052,SN-00000052,EXEC-000016,GIS-072-2500,WOODEN_CRATE,246.06,2494,1311,2009,2026-01-05 12:03:00,2026-01-05 12:05:00,READY_FOR_SHIPMENT
PKG-00000053,SN-00000053,EXEC-000016,GIS-072-2500,WOODEN_CRATE,302.38,2898,1659,1787,2026-01-05 12:03:00,2026-01-05 12:05:00,READY_FOR_SHIPMENT
PKG-00000054,SN-00000054,EXEC-000016,GIS-072-2500,WOODEN_CRATE,401.41,2370,1673,2011,2026-01-05 12:03:00,2026-01-05 12:05:00,READY_FOR_SHIPMENT
PKG-00000055,SN-00000055,EXEC-000017,GIS-550-5000,WOODEN_CRATE,596.03,1954,1653,1700,2026-01-05 12:23:00,2026-01-05 12:25:00,READY_FOR_SHIPMENT
PKG-00000056,SN-00000056,EXEC-000018,GIS-300-4000,WOODEN_CRATE,241.75,2907,1215,1691,2026-01-05 12:43:00,2026-01-05 12:45:00,READY_FOR_SHIPMENT
