press_operation_id,serial_number,execution_id,work_order_id,operation_number,operation_name,machine_id,tool_id,operator_id,press_program_id,operation_start,operation_end,target_force_kn,actual_force_kn,force_deviation_kn,displacement_mm,cycle_time_sec,quality_result
POP-00000001,SN-00000001,EXEC-000001,WO-20260105-000001,1,PRESS_FIT_1,PF-L3-S10,TL-VIS-032,OP-0031,PP-0001,2026-01-05 06:45:00,2026-01-05 06:45:35,145.0,145.19,0.19,25.0,35,QualityResult.PASS
POP-00000002,SN-00000001,EXEC-000001,WO-20260105-000001,2,PRESS_FIT_2,PF-L6-S10,TL-MOT-051,OP-0038,PP-0002,2026-01-05 06:46:03,2026-01-05 06:46:38,145.0,144.57,-0.43,25.0,35,QualityResult.PASS
POP-00000003,SN-00000001,EXEC-000001,WO-20260105-000001,3,PRESS_FIT_3,PF-L3-S10,TL-PKG-009,OP-0037,PP-0003,2026-01-05 06:46:54,2026-01-05 06:47:29,145.0,141.95,-3.05,25.0,35,QualityResult.PASS
POP-00000004,SN-00000001,EXEC-000001,WO-20260105-000001,4,PRESS_FIT_4,PF-L2-S10,TL-ASM-011,OP-0004,PP-0004,2026-01-05 06:47:50,2026-01-05 06:48:25,145.0,148.31,3.31,25.0,35,QualityResult.PASS
POP-00000005,SN-00000002,EXEC-000001,WO-20260105-000001,1,PRESS_FIT_1,PF-L3-S10,TL-ASM-038,OP-0008,PP-0001,2026-01-05 06:45:00,2026-01-05 06:45:35,145.0,143.49,-1.51,25.0,35,QualityResult.PASS
POP-00000006,SN-00000002,EXEC-000001,WO-20260105-000001,2,PRESS_FIT_2,PF-L3-S10,TL-PKG-027,OP-0072,PP-0002,2026-01-05 06:45:53,2026-01-05 06:46:28,145.0,147.83,2.83,25.0,35,QualityResult.PASS
POP-00000007,SN-00000002,EXEC-000001,WO-20260105-000001,3,PRESS_FIT_3,PF-L5-S10,TL-PKG-045,OP-0054,PP-0003,2026-01-05 06:47:06,2026-01-05 06:47:41,145.0,142.67,-2.33,25.0,35,QualityResult.PASS
POP-00000008,SN-00000002,EXEC-000001,WO-20260105-000001,4,PRESS_FIT_4,PF-L2-S10,TL-PKG-018,OP-0064,PP-0004,2026-01-05 06:47:57,2026-01-05 06:48:32,145.0,147.71,2.71,25.0,35,QualityResult.PASS
POP-00000009,SN-00000003,EXEC-000001,WO-20260105-000001,1,PRESS_FIT_1,PF-L1-S10,TL-PKG-036,OP-0072,PP-0001,2026-01-05 06:45:00,2026-01-05 06:45:35,145.0,145.75,0.75,25.0,35,QualityResult.PASS
POP-00000010,SN-00000003,EXEC-000001,WO-20260105-000001,2,PRESS_FIT_2,PF-L4-S10,TL-ASM-038,OP-0054,PP-0002,2026-01-05 06:46:03,2026-01-05 06:46:38,145.0,147.84,2.84,25.0,35,QualityResult.PASS
