execution_id,work_order_id,sap_order_number,product_code,quantity,plant_code,production_line,planned_shift,execution_start,execution_end,status
EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,5,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-05 06:45:00,2026-01-05 07:15:00,ExecutionStatus.PLANNED
EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,5,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-05 07:05:00,2026-01-05 07:35:00,ExecutionStatus.PLANNED
EXEC-000003,WO-20260105-000003,5000000003,GIS-245-4000,3,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-05 07:25:00,2026-01-05 07:55:00,ExecutionStatus.PLANNED
EXEC-000004,WO-20260105-000004,5000000004,GIS-145-3150,2,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-05 07:45:00,2026-01-05 08:15:00,ExecutionStatus.PLANNED
EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,5,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-05 08:05:00,2026-01-05 08:35:00,ExecutionStatus.PLANNED
EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,5,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-05 08:25:00,2026-01-05 08:55:00,ExecutionStatus.PLANNED
EXEC-000007,WO-20260105-000007,5000000007,GIS-145-3150,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-05 08:45:00,2026-01-05 09:15:00,ExecutionStatus.PLANNED
EXEC-000008,WO-20260105-000008,5000000008,GIS-245-4000,1,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-05 09:05:00,2026-01-05 09:35:00,ExecutionStatus.PLANNED
EXEC-000009,WO-20260105-000009,5000000009,GIS-072-3150,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-05 09:25:00,2026-01-05 09:55:00,ExecutionStatus.PLANNED
EXEC-000010,WO-20260105-000010,5000000010,GIS-072-3150,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-05 09:45:00,2026-01-05 10:15:00,ExecutionStatus.PLANNED
EXEC-000011,WO-20260105-000011,5000000011,GIS-145-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-05 10:05:00,2026-01-05 10:35:00,ExecutionStatus.PLANNED
EXEC-000012,WO-20260105-000012,5000000012,GIS-170-4000,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-05 10:25:00,2026-01-05 10:55:00,ExecutionStatus.PLANNED
EXEC-000013,WO-20260105-000013,5000000013,GIS-145-4000,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-05 10:45:00,2026-01-05 11:15:00,ExecutionStatus.PLANNED
EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,5,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-05 11:05:00,2026-01-05 11:35:00,ExecutionStatus.PLANNED
EXEC-000015,WO-20260105-000015,5000000015,GIS-300-4000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-05 11:25:00,2026-01-05 11:55:00,ExecutionStatus.PLANNED
EXEC-000016,WO-20260105-000016,5000000016,GIS-072-2500,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-05 11:45:00,2026-01-05 12:15:00,ExecutionStatus.PLANNED
EXEC-000017,WO-20260105-000017,5000000017,GIS-550-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-05 12:05:00,2026-01-05 12:35:00,ExecutionStatus.PLANNED
EXEC-000018,WO-20260105-000018,5000000018,GIS-300-4000,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-05 12:25:00,2026-01-05 12:55:00,ExecutionStatus.PLANNED
EXEC-000019,WO-20260105-000019,5000000019,GIS-245-3150,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-05 12:45:00,2026-01-05 13:15:00,ExecutionStatus.PLANNED
EXEC-000020,WO-20260105-000020,5000000020,GIS-145-3150,4,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-05 13:05:00,2026-01-05 13:35:00,ExecutionStatus.PLANNED
EXEC-000021,WO-20260105-000021,5000000021,GIS-420-5000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-05 13:25:00,2026-01-05 13:55:00,ExecutionStatus.PLANNED
EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,5,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-05 13:45:00,2026-01-05 14:15:00,ExecutionStatus.PLANNED
EXEC-000023,WO-20260105-000023,5000000023,GIS-145-4000,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-05 14:05:00,2026-01-05 14:35:00,ExecutionStatus.PLANNED
EXEC-000024,WO-20260106-000024,5000000024,GIS-245-3150,1,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-06 06:45:00,2026-01-06 07:15:00,ExecutionStatus.PLANNED
EXEC-000025,WO-20260106-000025,5000000025,GIS-300-4000,1,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-06 07:05:00,2026-01-06 07:35:00,ExecutionStatus.PLANNED
