serial_number,execution_id,work_order_id,sap_order_number,product_code,product_name,production_line,manufacturing_date,status
SN-00000001,EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-01,2026-01-05 06:45:00,IN_PRODUCTION
SN-00000002,EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-01,2026-01-05 06:45:00,IN_PRODUCTION
SN-00000003,EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-01,2026-01-05 06:45:00,IN_PRODUCTION
SN-00000004,EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-01,2026-01-05 06:45:00,IN_PRODUCTION
SN-00000005,EXEC-000001,WO-20260105-000001,5000000001,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-01,2026-01-05 06:45:00,IN_PRODUCTION
SN-00000006,EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 07:05:00,IN_PRODUCTION
SN-00000007,EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 07:05:00,IN_PRODUCTION
SN-00000008,EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 07:05:00,IN_PRODUCTION
SN-00000009,EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 07:05:00,IN_PRODUCTION
SN-00000010,EXEC-000002,WO-20260105-000002,5000000002,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 07:05:00,IN_PRODUCTION
SN-00000011,EXEC-000003,WO-20260105-000003,5000000003,GIS-245-4000,GIS Bay 245 kV / 4000 A,LINE-03,2026-01-05 07:25:00,IN_PRODUCTION
SN-00000012,EXEC-000003,WO-20260105-000003,5000000003,GIS-245-4000,GIS Bay 245 kV / 4000 A,LINE-03,2026-01-05 07:25:00,IN_PRODUCTION
SN-00000013,EXEC-000003,WO-20260105-000003,5000000003,GIS-245-4000,GIS Bay 245 kV / 4000 A,LINE-03,2026-01-05 07:25:00,IN_PRODUCTION
SN-00000014,EXEC-000004,WO-20260105-000004,5000000004,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-05 07:45:00,IN_PRODUCTION
SN-00000015,EXEC-000004,WO-20260105-000004,5000000004,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-05 07:45:00,IN_PRODUCTION
SN-00000016,EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-05 08:05:00,IN_PRODUCTION
SN-00000017,EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-05 08:05:00,IN_PRODUCTION
SN-00000018,EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-05 08:05:00,IN_PRODUCTION
SN-00000019,EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-05 08:05:00,IN_PRODUCTION
SN-00000020,EXEC-000005,WO-20260105-000005,5000000005,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-05 08:05:00,IN_PRODUCTION
SN-00000021,EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-06,2026-01-05 08:25:00,IN_PRODUCTION
