work_order_id,sap_order_number,product_code,quantity,production_line,priority,planned_shift,planned_start,planned_finish,routing_version,planner,status
WO-20260105-000001,5000000001,GIS-072-2500,5,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-05 06:45:00,2026-01-05 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000002,5000000002,GIS-072-3150,5,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-05 07:05:00,2026-01-05 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000003,5000000003,GIS-245-4000,3,LINE-03,Priority.LOW,ShiftType.MORNING,2026-01-05 07:25:00,2026-01-05 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000004,5000000004,GIS-145-3150,2,LINE-04,Priority.LOW,ShiftType.MORNING,2026-01-05 07:45:00,2026-01-05 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000005,5000000005,GIS-072-3150,5,LINE-05,Priority.LOW,ShiftType.MORNING,2026-01-05 08:05:00,2026-01-05 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000006,5000000006,GIS-072-3150,5,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-05 08:25:00,2026-01-05 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000007,5000000007,GIS-145-3150,3,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-05 08:45:00,2026-01-05 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000008,5000000008,GIS-245-4000,1,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-05 09:05:00,2026-01-05 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000009,5000000009,GIS-072-3150,4,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-05 09:25:00,2026-01-05 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000010,5000000010,GIS-072-3150,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-05 09:45:00,2026-01-05 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
